,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,TOTAL_DAYS,KWH_AVG_CONSO,NB_INVOICES
0,0001BB,01/01/2018,31/01/2018,2 447,"316,46",30 days,81.56666666666666,35
1,0001BB,01/02/2018,28/02/2018,2 211,"286,82",57 days,38.78947368421053,35
2,0001BB,01/03/2018,31/03/2018,2 450,"317,32",87 days,28.160919540229884,35
3,0001BB,01/04/2018,30/04/2018,2 431,"315,00",116 days,20.95689655172414,35
4,0001BB,01/05/2018,31/05/2018,2 574,"333,37",146 days,17.63013698630137,35
5,0001BB,01/06/2018,30/06/2018,2 830,"365,27",175 days,16.17142857142857,35
6,0001BB,01/07/2018,31/07/2018,3 028,"390,39",205 days,14.770731707317074,35
7,0001BB,01/08/2018,31/08/2018,3 053,"393,99",235 days,12.991489361702127,35
8,0001BB,01/09/2018,30/09/2018,2 915,"378,35",264 days,11.041666666666666,35
9,0001BB,01/10/2018,31/10/2018,2 986,"387,05",294 days,10.156462585034014,35
10,0001BB,01/11/2018,30/11/2018,2 871,"372,47",323 days,8.888544891640867,35
11,0001BB,01/12/2018,31/12/2018,3 086,"399,30",353 days,8.742209631728045,35
12,0001BB,01/01/2019,31/01/2019,3 094,"381,40",30 days,103.13333333333334,35
13,0001BB,01/02/2019,28/02/2019,2 767,"345,87",57 days,48.54385964912281,35
14,0001BB,01/03/2019,31/03/2019,3 059,"378,18",87 days,35.160919540229884,35
15,0001BB,01/04/2019,30/04/2019,2 761,"340,84",116 days,23.801724137931036,35
16,0001BB,01/05/2019,31/05/2019,2 844,"349,26",146 days,19.47945205479452,35
17,0001BB,01/06/2019,30/06/2019,3 009,"369,19",175 days,17.194285714285716,35
18,0001BB,01/07/2019,31/07/2019,3 016,"371,20",205 days,14.71219512195122,35
19,0001BB,01/08/2019,31/08/2019,3 089,"380,42",235 days,13.14468085106383,35
20,0001BB,01/09/2019,30/09/2019,2 914,"361,36",264 days,11.037878787878787,35
21,0001BB,01/10/2019,31/10/2019,2 963,"366,70",294 days,10.078231292517007,35
22,0001BB,01/11/2019,30/11/2019,2 797,"345,89",323 days,8.659442724458204,35
23,0001BB,01/12/2019,31/12/2019,2 859,"353,08",353 days,8.09915014164306,35
24,0001BB,01/01/2020,31/01/2020,2 863,"414,93",30 days,95.43333333333334,35
25,0001BB,01/02/2020,29/02/2020,2 663,"387,22",58 days,45.91379310344828,35
26,0001BB,01/03/2020,31/03/2020,2 759,"403,25",88 days,31.352272727272727,35
27,0001BB,01/04/2020,30/04/2020,2 680,"390,79",117 days,22.905982905982906,35
28,0001BB,01/05/2020,31/05/2020,2 797,"407,48",147 days,19.027210884353742,35
29,0001BB,01/06/2020,30/06/2020,2 796,"407,77",176 days,15.886363636363637,35
30,0001BB,01/07/2020,31/07/2020,2 952,"429,09",206 days,14.330097087378642,35
31,0001BB,01/08/2020,31/08/2020,3 014,"435,98",236 days,12.771186440677965,35
32,0001BB,01/09/2020,30/09/2020,2 857,"411,97",265 days,10.781132075471698,35
33,0001BB,01/10/2020,31/10/2020,2 905,"413,41",295 days,9.847457627118644,35
34,0001BB,01/11/2020,30/11/2020,2 755,"383,02",324 days,8.503086419753087,35
35,0001BR,01/01/2018,31/01/2018,2 438,"266,43",30 days,81.26666666666667,35
36,0001BR,01/02/2018,28/02/2018,2 211,"242,33",57 days,38.78947368421053,35
37,0001BR,01/03/2018,31/03/2018,2 453,"267,95",87 days,28.195402298850574,35
38,0001BR,01/04/2018,30/04/2018,2 414,"263,78",116 days,20.810344827586206,35
39,0001BR,01/05/2018,31/05/2018,2 517,"274,62",146 days,17.23972602739726,35
40,0001BR,01/06/2018,30/06/2018,2 461,"268,63",175 days,14.062857142857142,35
41,0001BR,01/07/2018,31/07/2018,2 560,"279,26",205 days,12.487804878048781,35
42,0001BR,01/08/2018,31/08/2018,2 597,"283,07",235 days,11.051063829787234,35
43,0001BR,01/09/2018,30/09/2018,2 436,"267,99",264 days,9.227272727272727,35
44,0001BR,01/10/2018,31/10/2018,2 497,"274,50",294 days,8.493197278911564,35
45,0001BR,01/11/2018,30/11/2018,2 397,"263,82",323 days,7.421052631578948,35
46,0001BR,01/12/2018,31/12/2018,2 452,"269,69",353 days,6.946175637393767,35
47,0001BR,01/01/2019,31/01/2019,2 460,"264,03",30 days,82.0,35
48,0001BR,01/02/2019,28/02/2019,2 229,"239,96",57 days,39.10526315789474,35
49,0001BR,01/03/2019,31/03/2019,2 475,"265,56",87 days,28.448275862068964,35
50,0001BR,01/04/2019,30/04/2019,2 410,"258,76",116 days,20.775862068965516,35
51,0001BR,01/05/2019,31/05/2019,2 508,"268,92",146 days,17.17808219178082,35
52,0001BR,01/06/2019,30/06/2019,2 529,"270,94",175 days,14.451428571428572,35
53,0001BR,01/07/2019,31/07/2019,2 593,"277,63",205 days,12.648780487804878,35
54,0001BR,01/08/2019,31/08/2019,2 603,"278,60",235 days,11.076595744680851,35
55,0001BR,01/09/2019,30/09/2019,2 595,"277,20",264 days,9.829545454545455,35
56,0001BR,01/10/2019,31/10/2019,2 708,"288,79",294 days,9.210884353741497,35
57,0001BR,01/11/2019,30/11/2019,2 595,"277,07",323 days,8.034055727554179,35
58,0001BR,01/12/2019,31/12/2019,2 648,"282,57",353 days,7.501416430594901,35
59,0001BR,01/01/2020,31/01/2020,2 600,"330,81",30 days,86.66666666666667,35
60,0001BR,01/02/2020,29/02/2020,2 445,"311,57",58 days,42.1551724137931,35
61,0001BR,01/03/2020,31/03/2020,2 609,"330,32",88 days,29.647727272727273,35
62,0001BR,01/04/2020,30/04/2020,2 629,"332,70",117 days,22.47008547008547,35
63,0001BR,01/05/2020,31/05/2020,2 735,"345,77",147 days,18.60544217687075,35
64,0001BR,01/06/2020,30/06/2020,2 687,"339,78",176 days,15.267045454545455,35
65,0001BR,01/07/2020,31/07/2020,2 854,"360,33",206 days,13.854368932038835,35
66,0001BR,01/08/2020,31/08/2020,2 886,"364,21",236 days,12.228813559322035,35
67,0001BR,01/09/2020,30/09/2020,2 761,"348,79",265 days,10.418867924528302,35
68,0001BR,01/10/2020,31/10/2020,2 802,"353,90",295 days,9.498305084745763,35
69,0001BR,01/11/2020,30/11/2020,2 677,"338,44",324 days,8.262345679012345,35
70,0001KO,01/01/2018,31/01/2018,2 179,"268,53",30 days,72.63333333333334,35
71,0001KO,01/02/2018,28/02/2018,1 971,"243,47",57 days,34.578947368421055,35
